Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,difference,futureOpen
2020-06-10,72.38,74.24,72.31,73.82,9106800,0,0,1.4399999999999977,1.0
2020-06-11,72.87,74.35,71.02,71.28,7808000,0,0,-1.5900000000000034,0.0
2020-06-12,71.5,73.21,70.25,71.68,5920500,0,0,0.18000000000000682,1.0
2020-06-15,71.48,73.55,71.27,73.19,6492100,0,0,1.7099999999999937,1.0
2020-06-16,74.0,74.19,72.23,73.0,6359000,0,0,-1.0,0.0
2020-06-17,73.69,76.48,73.31,75.53,12761700,0,0,1.8400000000000034,1.0
2020-06-18,75.99,76.37,74.89,76.01,7270400,0,0,0.020000000000010232,1.0
2020-06-19,76.18,76.75,75.09,76.58,10388500,0,0,0.3999999999999915,1.0
2020-06-22,76.67,77.2,75.87,76.12,5243100,0,0,-0.5499999999999972,0.0
2020-06-23,76.73,77.63,76.22,76.45,4472200,0,0,-0.28000000000000114,0.0
2020-06-24,76.46,77.17,74.43,75.58,7744700,0,0,-0.8799999999999955,0.0
2020-06-25,76.61,76.77,74.46,76.21,6157300,0,0,-0.4000000000000057,0.0
2020-06-26,76.54,76.84,74.65,76.4,11572500,0,0,-0.14000000000000057,0.0
2020-06-29,75.82,76.52,74.93,75.5,5099400,0,0,-0.3199999999999932,0.0
2020-06-30,75.69,76.43,75.42,75.9,6535400,0,0,0.21000000000000796,1.0
2020-07-01,75.45,78.23,74.97,78.03,10187400,0,0,2.5799999999999983,1.0
2020-07-02,78.86,79.11,77.05,77.51,5169300,0,0,-1.3499999999999943,0.0
2020-07-06,78.46,79.44,78.05,78.67,6041800,0,0,0.21000000000000796,1.0
2020-07-07,79.0,80.38,78.39,78.5,6038800,0,0,-0.5,0.0
2020-07-08,79.06,79.35,77.97,79.28,4863400,0,0,0.21999999999999886,1.0
2020-07-09,79.93,80.75,78.82,80.64,6001500,0,0,0.7099999999999937,1.0
